1,The Tasting Room Seattle,Entertainment,Happy Hour,Wednesdays 5-7:30pm; live music + $5/glass local wine.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,http://winesofwashington.com/events,Free,1,11,foot,1924 Post Alley,Seattle,WA,United States,98101
2,West Seattle Wine Cellars,Alcohol,Urban Wine Tasting,Thursdays 5:30-8pm; (some Fridays and Saturdays).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,http://www.wscellars.com/Taste.html,Free,2,28,bus,6026 California Avenue Southwest,Seattle,WA,United States,98136
3,Esquin Wine Merchants,Alcohol,Urban Wine Tasting,"Thursdays 5-6:30pm, Saturdays 2-5pm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,http://www.esquin.com/about.htm,Free,3,13,bus,2700 4th Avenue South,Seattle,WA,United States,98134
4,DeLaurenti Specialty Food & Wine,Alcohol,Urban Wine Tasting,Saturdays 2-4pm; includes 4 cheese pairings. $2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,http://www.delaurenti.com/wines/tastings/ ,$1 - $5,1,6,foot,1435 1st Avenue,Seattle,WA,United States,98101
5,Champion Wine Cellars,Alcohol,Urban Wine Tasting,Saturdays noon-5pm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,http://www.championwinecellars.com/events.htm,Free,4,14,bus,108 Denny Way,Seattle,WA,United States,98109
6,McCarthy & Schiering Wine,Alcohol,Urban Wine Tasting,Saturdays 11am-5pm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,http://mccarthyandschiering.com/free-tastings/,Free,5,26,bus,2401 Queen Anne Avenue North,Seattle,WA,United States,98109
7,European Vine Selections,Alcohol,Urban Wine Tasting,Most Saturdays 3-6pm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,http://evswines.com/calendar/,Free,6,18,bus,522 15th Avenue East,Seattle,WA,United States,98112
8,Vino Verité ,Alcohol,Urban Wine Tasting,Thursdays 5-8pm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,http://vinoverite.com/tasting.html,Free,7,26,train,4908 Rainier Ave South Suite C,Seattle,WA,United States,98118
9,Pyramid Breweries,Alcohol,Beer,Mondays (open 11am-10pm); Fill growler (~2L) for $5. ,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.pyramidbrew.com/alehouses/seattle/,$1 - $5,3,19,bus,91 South Royal Brougham Way,Seattle,WA,United States,98134
10,Blu Water Bistro,Dining,Brunch,Saturdays and Sundays until 2pm.  Brunch deals: $3.50 mimosas; $8 for 2 pancakes + 2 eggs. ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,http://www.bluwaterbistro.com/wp-content/uploads/2015/09/36795_PL_B-BluWater-Brunch-Guts.pdf,$10 - $15,8,20,bus,102 Lakeside Avenue,Seattle,WA,United States,98122
11,Community Yoga,Wellness,Yoga,Once/month: Sunday at 10am.  Vinyasa flow.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.meetup.com/South-Seattle-Yoga/,Free,9,21,train,3333 Rainier Avenue South Suite D,Seattle,WA,United States,98144
12,Lululemon Run Club,Wellness,Running,Tuesdays 6-7pm. Meet at store at 6pm and run either 3 or 5 mile loop in downtown Seattle; all levels welcome.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,http://www.lululemon.com/stores/us/seattle/pacificplace/events,Free,1,8,foot,600 Pine Street,Seattle,WA,United States,98101
13,The Grinning Yogi,Wellness,Yoga,Sundays at 10:45am-11:45am. Yoga class taught by a trainee or recent grad.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thegrinningyogi.com,Free,6,20,bus,345 15th Avenue East Suite 102,Seattle,WA,United States,98112
14,Hothouse Spa,Wellness,Relaxation,"Noon-midnight; closed Tuesdays. $18 entrance; $30 for 15 min massage; ** by comparisson, korean spa $38 entry.  Entrance fee allows access to facilities all day (noon-midnight): hot tub, sauna, steam room, cold plunge, relaxation area, filtered water, and showers. 4/5 stars on yelp.  Bathing suit may be worn but not encouraged. ",0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,http://hothousespa.com/HH1.HTM,$15 - $20,6,12,bus,1019 E Pike Street,Seattle,WA,United States,98122
15,Country Dance Lessons,Wellness,Dancing,"Sunday, Monday (line dancing), Tuesday nights at 8pm.",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,http://www.littleredhen.com/new-pgs/dance-lessons.html,Free,10,29,bus,7115 Woodlawn Avenue Northeast,Seattle,WA,United States,98115
16,Tiger Lily Yoga,Wellness,Yoga,"Wednesdays 530-645pm, Saturdays 11am-1215pm, ​Sundays 10am-1130am. All levels donation-based classes (pay what you can).  Pay in studio (do not preregister), cash only.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,http://www.tigerlilyyoga.com/,$5 - $10,7,29,bus,4405 Rainier Ave South,Seattle,WA,United States,98118
